program_id,crop_id,crop_name,resource_tag,harvest_week_num,kg_harvested,units_harvested,seeding_date,transplant_date,harvest_date
889,6,Green Salanova Butterhead,PNQ-GH3,2025-30,null,null,2025-06-02 00:00:00+00,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00
891,5,Green Salanova Oakleaf,PNQ-GH3,2025-30,null,null,2025-06-02 00:00:00+00,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00
895,9,Red Batavia,PNQ-GH3,2025-30,null,null,2025-05-26 00:00:00+00,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-30,null,null,2025-06-02 00:00:00+00,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-31,null,null,2025-06-02 00:00:00+00,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00
888,10,Green Batavia,PNQ-GH3,2025-31,null,null,2025-06-09 00:00:00+00,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00
889,6,Green Salanova Butterhead,PNQ-GH3,2025-31,null,null,2025-06-09 00:00:00+00,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00
891,5,Green Salanova Oakleaf,PNQ-GH3,2025-31,null,null,2025-06-09 00:00:00+00,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00
895,9,Red Batavia,PNQ-GH3,2025-31,null,null,2025-06-02 00:00:00+00,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-31,null,null,2025-06-09 00:00:00+00,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-32,null,null,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00
895,9,Red Batavia,PNQ-GH3,2025-32,null,null,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00
896,2,Red Salanova Butterhead,PNQ-GH4,2025-08,null,null,2024-12-30 00:00:00+00,2025-01-23 00:00:00+00,2025-02-17 00:00:00+00
898,1,Red Salanova Oakleaf,PNQ-GH4,2025-08,null,null,2024-12-30 00:00:00+00,2025-01-23 00:00:00+00,2025-02-17 00:00:00+00
